項目,分類,規格說明,單位,數量,單價(HKD),備註
200mm框架舞台TRUSS,結構工程,鋁合金桁架系統含連接件及吊點,米,0,,需CAD量測
輕質鋼結構主體,結構工程,輕鋼結構展牆骨架含基礎固定,平方米,0,,需CAD量測
木質造型結構,結構工程,木作造型結構含基層骨架,平方米,0,,曲面/幾何需另外加價
烤漆處理,結構工程,木質結構表面烤漆工藝,平方米,0,,
木質直面飾板,結構工程,木質平板飾面含安裝,平方米,0,,
塗料/乳膠漆,結構工程,牆面及結構體塗料施工,平方米,0,,
LED顯示屏,多媒體設備,展牆開槽內嵌式LED屏幕,套,0,,需確認P2/P3/P4規格
燈光照明系統,多媒體設備,軌道燈/射燈/氛圍燈光含配電,套,1,,
模特人台,多媒體設備,展覽用人台模型,個,0,,
展台/展示底座,多媒體設備,實木或亞克力展台,個,0,,
背面宣絨布噴繪,裝飾畫面,高畫質宣絨布UV噴繪含安裝,平方米,0,,
木框架畫面,裝飾畫面,木框結構掛畫含畫面輸出,平方米,0,,
麻繩裝飾,裝飾畫面,局部麻繩結合裝飾,米,0,,
展牆畫面輸出,裝飾畫面,展板高畫質寫真輸出,平方米,0,,
配電工程,配套工程,展區用電配置線路敷設,式,1,,
運輸及安裝,配套工程,材料運輸及現場安裝,式,1,,
展覽撤場,配套工程,展期結束後拆卸及清理,式,1,,
